customer_id,signup_date,country
C100000,2023-08-13,United Kingdom
C100001,2025-02-24,Brazil
C100002,2024-11-18,Japan
C100003,2024-05-25,Australia
C100004,2024-05-21,Netherlands
C100005,2025-05-05,Brazil
C100006,2023-08-10,Japan
C100007,2024-12-23,United States
C100008,2023-11-13,Australia
C100009,2023-08-17,United Kingdom
C100010,2024-08-05,Germany
C100011,2025-08-09,Italy
C100012,2025-01-24,Sweden
C100013,2025-02-14,Sweden
C100014,2025-01-09,India
C100015,2025-03-06,Australia
C100016,2024-07-25,Australia
C100017,2023-09-14,India
C100018,2025-04-19,United States
C100019,2024-06-04,United States
C100020,2024-07-15,Brazil
C100021,2024-03-31,Canada
C100022,2023-10-28,Sweden
C100023,2025-06-29,United Kingdom
C100024,2025-03-02,Sweden
C100025,2024-11-09,India
C100026,2024-04-25,Brazil
C100027,2025-04-05,United States
C100028,2024-08-21,Germany
C100029,2024-05-29,Brazil
C100030,2024-06-04,South Korea
C100031,2023-12-04,Mexico
C100032,2023-08-15,United States
C100033,2024-08-28,India
C100034,2025-05-29,United States
C100035,2023-07-23,United States
C100036,2025-05-04,Spain
C100037,2025-04-09,Australia
C100038,2024-01-13,Brazil
C100039,2024-10-30,Japan
C100040,2023-10-14,Australia
C100041,2025-02-11,Brazil
C100042,2024-12-26,United States
C100043,2024-03-17,India
C100044,2023-07-26,France
C100045,2025-08-04,Japan
C100046,2024-05-31,United States
C100047,2025-06-02,Canada
C100048,2024-12-07,Spain
C100049,2025-02-28,United States
C100050,2025-02-13,India
C100051,2023-11-07,Japan
C100052,2024-03-25,Italy
C100053,2024-06-17,India
C100054,2024-07-13,Japan
C100055,2023-07-06,India
C100056,2024-08-22,Japan
C100057,2023-10-05,India
C100058,2025-01-30,Germany
C100059,2024-12-12,India
C100060,2025-06-26,India
C100061,2025-01-31,Japan
C100062,2024-03-27,United States
C100063,2025-08-02,United States
C100064,2024-05-02,India
C100065,2024-02-23,Australia
C100066,2025-06-12,Brazil
C100067,2024-03-30,Sweden
C100068,2023-08-02,India
C100069,2024-06-20,India
C100070,2025-03-14,United States
C100071,2023-11-03,Germany
C100072,2024-06-14,Sweden
C100073,2023-09-15,Spain
