order_id,product_id,quantity,unit_price
O300000,P200215,1,118.93
O300000,P200069,1,38.26
O300000,P200010,3,147.83
O300000,P200149,1,96.74
O300001,P200218,3,105.52
O300001,P200039,3,75.13
O300002,P200246,3,102.62
O300002,P200166,3,18.47
O300003,P200240,1,257.36
O300003,P200020,3,125.35
O300003,P200179,2,91.99
O300003,P200223,3,42.98
O300003,P200023,1,124.93
O300004,P200160,2,46.94
O300004,P200091,3,66.21
O300005,P200111,3,35.9
O300005,P200235,2,17.39
O300006,P200100,2,27.98
O300006,P200176,2,100.2
O300006,P200177,2,30.16
O300006,P200056,2,100.36
O300006,P200221,1,422.2
O300007,P200062,3,25.38
O300007,P200090,2,131.55
O300007,P200055,3,92.47
O300007,P200039,1,67.02
O300007,P200233,2,109.65
O300008,P200022,1,64.55
O300009,P200229,3,30.09
O300009,P200206,3,37.45
O300009,P200117,3,53.89
O300009,P200227,1,33.14
O300009,P200211,3,134.75
O300010,P200102,1,103.79
O300010,P200109,1,19.73
O300010,P200226,3,119.15
O300010,P200047,3,61.8
O300011,P200024,2,113.37
O300011,P200002,1,21.94
O300012,P200055,1,106.35
O300012,P200029,3,16.64
O300012,P200248,2,5.31
O300013,P200052,3,118.41
O300013,P200102,2,118.73
O300014,P200118,1,47.7
O300015,P200059,2,26.78
O300016,P200148,3,38.45
O300017,P200236,2,39.56
O300017,P200068,2,21.51
O300017,P200036,3,47.72
O300018,P200179,2,104.3
O300018,P200013,3,87.92
O300018,P200208,3,13.92
O300018,P200039,2,76.16
O300018,P200073,3,151.77
O300019,P200213,3,19.07
O300019,P200247,2,15.51
O300019,P200045,1,44.56
O300020,P200037,2,49.4
O300021,P200104,3,74.19
O300021,P200003,3,120.1
O300021,P200135,3,29.33
O300022,P200009,3,12.84
O300022,P200224,3,107.97
O300022,P200070,3,16.52
O300022,P200186,3,9.68
O300023,P200020,2,122.76
O300023,P200156,1,98.29
O300023,P200083,3,126.84
O300023,P200209,2,68.52
O300023,P200011,3,43.59
O300024,P200130,1,110.39
O300024,P200083,3,113.56
O300024,P200049,2,38.45
O300024,P200019,3,376.41
O300025,P200019,2,364.21
O300025,P200103,2,122.81
O300026,P200222,1,104.77
O300026,P200059,2,27.48
O300026,P200238,3,33.85
O300026,P200002,2,23.43
O300027,P200139,3,290.8
O300028,P200200,1,68.82
O300028,P200131,3,294.62
O300028,P200059,1,28.46
O300029,P200031,2,28.14
O300029,P200034,1,92.57
O300029,P200064,3,5.65
O300030,P200180,1,269.05
O300031,P200019,1,389.35
O300032,P200121,1,40.43
O300032,P200017,2,138.04
O300032,P200013,3,84.56
O300032,P200053,3,133.08
O300032,P200003,1,106.83
O300033,P200170,2,46.13
O300033,P200110,2,94.93
O300034,P200087,1,120.2
O300035,P200093,3,170.96
O300035,P200103,2,114.36
O300035,P200076,3,64.21
O300036,P200214,3,105.05
O300036,P200072,3,45.77
O300037,P200207,2,36.08
O300037,P200092,3,39.45
O300037,P200042,1,87.06
O300037,P200054,1,82.83
O300037,P200012,3,75.76
O300038,P200232,3,91.92
O300038,P200107,1,38.21
O300038,P200240,1,301.48
O300038,P200005,2,26.26
O300038,P200027,1,28.57
O300039,P200144,3,88.98
O300039,P200020,1,131.79
O300039,P200214,2,101.04
O300039,P200149,3,90.64
O300039,P200029,1,15.78
O300040,P200078,3,16.17
O300040,P200100,3,33.51
O300041,P200052,2,125.81
O300041,P200101,3,8.06
O300041,P200039,3,72.31
O300041,P200143,1,12.26
O300041,P200134,1,106.92
O300042,P200119,1,65.35
O300042,P200085,2,28.71
O300043,P200142,3,114.22
O300043,P200046,3,9.98
O300044,P200130,1,98.26
O300044,P200248,1,5.42
O300044,P200197,1,427.79
O300044,P200213,3,18.76
O300044,P200041,1,125.6
O300045,P200144,1,92.09
O300045,P200118,1,48.27
O300045,P200085,1,25.63
O300045,P200103,3,112.02
O300046,P200033,2,29.31
O300047,P200130,3,109.12
O300047,P200191,2,7.45
O300047,P200149,1,96.51
O300047,P200080,1,35.87
O300047,P200202,3,124.15
O300048,P200070,2,16.28
O300049,P200210,3,103.09
O300049,P200190,1,17.77
O300049,P200129,2,137.88
O300049,P200229,2,28.96
O300050,P200188,1,49.38
O300050,P200143,1,11.58
O300050,P200122,3,71.36
O300051,P200092,2,36.69
O300052,P200144,1,73.66
O300052,P200206,2,46.3
O300052,P200123,2,26.73
O300052,P200127,2,121.83
O300053,P200209,2,55.48
O300053,P200203,2,476.82
O300053,P200009,2,11.75
O300053,P200245,1,10.51
O300054,P200109,1,19.68
O300054,P200031,3,32.09
O300054,P200071,2,42.37
O300054,P200110,1,90.65
O300054,P200059,3,22.89
O300055,P200151,2,123.88
O300055,P200133,1,23.34
O300055,P200144,3,84.1
O300055,P200209,1,70.47
O300056,P200092,3,40.38
O300056,P200140,2,20.04
O300056,P200062,1,31.9
