order_id,customer_id,order_date,country,order_total
O300000,C101185,2025-03-26,Mexico,697.42
O300001,C101138,2024-12-03,Canada,541.95
O300002,C100375,2024-04-09,France,363.27
O300003,C100907,2024-01-08,United Kingdom,1071.26
O300004,C100253,2024-12-21,South Korea,292.51
O300005,C100565,2024-08-19,Japan,142.48
O300006,C100288,2024-09-16,United States,939.6
O300007,C100583,2024-06-22,United States,902.97
O300008,C101046,2025-01-23,India,64.55
O300009,C100523,2024-11-25,United States,801.6800000000001
O300010,C100110,2024-01-25,Sweden,666.37
O300011,C100389,2024-10-28,Brazil,248.68
O300012,C100943,2024-02-22,United States,166.89
O300013,C100626,2024-08-02,United Kingdom,592.69
O300014,C100672,2024-01-26,India,47.7
O300015,C100517,2025-07-15,Brazil,53.56
O300016,C100351,2025-01-01,India,115.35000000000001
O300017,C100717,2024-12-21,United States,265.3
O300018,C100759,2025-04-11,United States,1121.75
O300019,C101077,2024-09-03,United Kingdom,132.79000000000002
O300020,C100741,2024-08-05,Mexico,98.8
O300021,C101194,2025-03-14,South Korea,670.8599999999999
O300022,C100991,2025-02-09,United States,441.03
O300023,C100094,2025-06-20,South Korea,992.14
O300024,C100470,2024-07-25,Japan,1657.2
O300025,C100461,2025-06-06,France,974.04
O300026,C100003,2024-06-30,Australia,308.14
O300027,C100216,2025-04-02,Japan,872.4000000000001
O300028,C100914,2025-03-31,Japan,981.14
O300029,C100422,2024-10-17,Sweden,165.8
O300030,C100177,2025-07-10,United States,269.05
O300031,C100344,2025-04-19,United Kingdom,389.35
O300032,C100329,2025-07-04,Australia,1076.26
O300033,C100209,2025-01-31,Sweden,282.12
O300034,C100121,2024-08-09,United Kingdom,120.2
O300035,C100916,2024-01-19,United States,934.23
O300036,C100989,2024-02-17,United States,452.46
O300037,C100595,2024-10-20,India,587.6800000000001
O300038,C100738,2025-06-22,Japan,696.54
O300039,C101103,2024-08-24,France,888.51
O300040,C101011,2025-04-22,Brazil,149.04000000000002
O300041,C100039,2025-01-03,Japan,611.9100000000001
O300042,C101143,2024-03-29,Netherlands,122.77
O300043,C100080,2024-02-11,United States,372.59999999999997
O300044,C100031,2025-01-30,Mexico,713.35
O300045,C100483,2025-03-24,Mexico,502.05
O300046,C100895,2025-03-15,France,58.62
O300047,C100096,2024-05-02,Australia,847.0900000000001
O300048,C100351,2024-05-13,India,32.56
O300049,C100315,2025-08-03,Netherlands,660.7199999999999
O300050,C100476,2024-04-25,Canada,275.03999999999996
O300051,C101183,2025-02-07,United States,73.38
O300052,C100397,2024-02-22,United States,463.38
O300053,C100250,2024-06-24,United States,1098.6100000000001
O300054,C100146,2025-07-20,India,360.01
O300055,C100237,2024-01-04,Sweden,593.87
O300056,C100159,2024-10-09,United Kingdom,618.88
O300057,C100688,2024-07-07,United Kingdom,1092.17
O300058,C100504,2024-07-09,United States,619.69
O300059,C100597,2025-02-19,Italy,161.15
O300060,C100998,2025-03-24,Mexico,274.91
O300061,C100696,2024-03-30,United States,417.73
O300062,C100186,2024-11-03,Mexico,660.91
O300063,C100452,2024-11-03,India,21.02
O300064,C100375,2025-02-22,France,124.08
O300065,C100992,2024-07-20,Netherlands,113.97
O300066,C100368,2024-07-26,Germany,1114.08
O300067,C100166,2024-01-20,United States,265.91999999999996
O300068,C100883,2025-08-21,India,850.58
O300069,C100514,2024-08-22,Sweden,1495.65
O300070,C100115,2024-01-18,United States,110.00999999999999
O300071,C100827,2024-01-04,United States,95.08000000000001
O300072,C100252,2025-07-16,Japan,1182.25
O300073,C101041,2025-08-01,United States,784.28
O300074,C100998,2024-01-15,Mexico,1186.09
O300075,C100443,2024-08-05,Italy,1529.3899999999999
O300076,C100666,2024-07-12,United States,249.1
O300077,C100681,2024-09-17,India,157.64
O300078,C100784,2024-10-17,Netherlands,1127.87
O300079,C100082,2024-05-04,United States,221.38
O300080,C100389,2024-02-15,Brazil,471.21999999999997
O300081,C100204,2024-03-19,United States,513.36
O300082,C100836,2024-01-02,India,735.28
O300083,C100082,2025-03-25,United States,1675.5600000000002
O300084,C100620,2024-05-27,United States,29.08
O300085,C100873,2025-05-18,Canada,267.15000000000003
O300086,C101138,2025-02-14,Canada,612.38
O300087,C100345,2024-09-28,India,7.0
O300088,C100009,2024-11-10,United Kingdom,488.29999999999995
O300089,C100868,2025-01-10,Australia,609.09
O300090,C100001,2024-11-19,Brazil,254.14
O300091,C100079,2024-03-22,India,1236.97
O300092,C101188,2024-02-09,Japan,447.29999999999995
O300093,C101035,2024-01-26,India,1002.6899999999999
O300094,C100849,2024-03-08,India,226.39999999999998
O300095,C101002,2024-07-19,Spain,879.03
O300096,C100090,2025-05-08,India,560.68
O300097,C100106,2025-02-12,Brazil,77.44
O300098,C100360,2024-03-01,Canada,80.13
O300099,C100028,2025-01-03,Germany,98.19
O300100,C101065,2025-08-01,Mexico,1361.31
O300101,C100067,2025-07-15,Sweden,168.12
O300102,C100652,2024-05-07,United States,779.34
O300103,C101024,2025-04-11,India,420.29
O300104,C100881,2024-01-16,United States,1162.3
O300105,C100281,2025-07-22,France,218.57999999999998
O300106,C100564,2024-08-10,United States,849.3700000000001
O300107,C100657,2025-05-14,Mexico,534.99
O300108,C100921,2024-03-28,Canada,25.8
O300109,C100511,2024-11-01,United Kingdom,48.99
O300110,C100342,2024-07-09,United States,1111.93
O300111,C100954,2024-08-04,India,811.15
O300112,C101063,2024-06-01,India,848.6899999999999
O300113,C100586,2024-05-18,India,154.05
O300114,C100033,2024-01-15,India,1910.58
O300115,C100600,2025-01-24,Germany,1182.39
O300116,C101067,2024-11-04,India,764.75
O300117,C101186,2024-11-17,India,849.28
O300118,C100481,2025-06-14,South Korea,128.03
O300119,C100180,2025-04-25,India,427.15
O300120,C100686,2025-02-09,India,736.28
O300121,C100996,2024-11-29,India,493.52
O300122,C101134,2024-05-04,Japan,954.15
O300123,C100062,2025-08-20,United States,54.81
O300124,C100348,2024-09-26,Japan,535.3199999999999
O300125,C100573,2024-03-29,Australia,170.2
O300126,C100117,2024-06-23,United States,101.88000000000001
O300127,C101063,2024-05-31,India,241.98000000000002
O300128,C100134,2024-02-01,United States,276.09999999999997
O300129,C100798,2024-06-20,Germany,251.34
O300130,C101102,2024-03-24,India,68.76
O300131,C100822,2024-04-30,United Kingdom,467.03
O300132,C100915,2025-03-20,India,406.59
O300133,C100315,2024-07-27,Netherlands,923.8
O300134,C100992,2024-09-08,Netherlands,1354.8899999999999
O300135,C100502,2025-05-26,Brazil,929.9000000000001
O300136,C100073,2024-05-13,Spain,245.03
O300137,C100439,2025-01-10,United States,341.91
O300138,C100419,2024-02-26,United Kingdom,152.2
O300139,C100625,2025-08-08,Japan,381.26
O300140,C100317,2024-09-21,United States,1873.16
O300141,C100554,2024-12-28,Canada,1028.29
O300142,C100513,2025-08-14,South Korea,105.7
O300143,C100392,2024-03-22,Brazil,172.78
O300144,C100835,2024-10-04,Sweden,408.64
O300145,C100366,2024-07-19,Netherlands,1743.81
O300146,C100918,2024-06-22,United States,804.24
O300147,C100301,2025-06-19,India,474.53999999999996
O300148,C101037,2024-07-30,South Korea,610.09
O300149,C100438,2024-06-07,United Kingdom,690.46
O300150,C100048,2024-08-09,Spain,260.31
O300151,C100179,2025-07-18,Japan,952.9699999999999
O300152,C100967,2025-06-13,United States,463.94999999999993
O300153,C101046,2024-04-05,India,328.85
