product_id,product_name,category,brand,list_price
P200000,Hooli Beauty Item 1,Beauty,Hooli,148.21
P200001,Acme Sports Item 2,Sports,Acme,7.35
P200002,Globex Books Item 3,Books,Globex,25.36
P200003,Umbrella Sports Item 4,Sports,Umbrella,127.18
P200004,Stark Pet Supplies Item 5,Pet Supplies,Stark,51.97
P200005,Hooli Books Item 6,Books,Hooli,26.59
P200006,Umbrella Fashion Item 7,Fashion,Umbrella,195.83
P200007,Acme Sports Item 8,Sports,Acme,73.86
P200008,Umbrella Sports Item 9,Sports,Umbrella,23.98
P200009,Stark Sports Item 10,Sports,Stark,12.5
P200010,Wayne Toys & Games Item 11,Toys & Games,Wayne,142.09
P200011,Wonka Sports Item 12,Sports,Wonka,43.54
P200012,Initech Sports Item 13,Sports,Initech,78.09
P200013,Wonka Electronics Item 14,Electronics,Wonka,95.29
P200014,Wonka Grocery & Gourmet Item 15,Grocery & Gourmet,Wonka,66.43
P200015,Hooli Beauty Item 16,Beauty,Hooli,139.87
P200016,Wayne Electronics Item 17,Electronics,Wayne,414.37
P200017,Tyrell Beauty Item 18,Beauty,Tyrell,145.81
P200018,Initech Beauty Item 19,Beauty,Initech,42.53
P200019,Hooli Electronics Item 20,Electronics,Hooli,416.02
P200020,Acme Pet Supplies Item 21,Pet Supplies,Acme,129.63
P200021,Globex Home & Kitchen Item 22,Home & Kitchen,Globex,70.0
P200022,Tyrell Fashion Item 23,Fashion,Tyrell,63.1
P200023,Stark Beauty Item 24,Beauty,Stark,129.04
P200024,Wonka Automotive Item 25,Automotive,Wonka,123.07
P200025,Wonka Grocery & Gourmet Item 26,Grocery & Gourmet,Wonka,81.95
P200026,Wonka Grocery & Gourmet Item 27,Grocery & Gourmet,Wonka,146.6
P200027,Initech Home & Kitchen Item 28,Home & Kitchen,Initech,32.04
P200028,Globex Automotive Item 29,Automotive,Globex,97.41
P200029,Acme Automotive Item 30,Automotive,Acme,19.01
P200030,Tyrell Beauty Item 31,Beauty,Tyrell,61.82
P200031,Initech Toys & Games Item 32,Toys & Games,Initech,34.03
P200032,Wayne Electronics Item 33,Electronics,Wayne,552.03
P200033,Stark Grocery & Gourmet Item 34,Grocery & Gourmet,Stark,31.29
P200034,Globex Pet Supplies Item 35,Pet Supplies,Globex,102.85
P200035,Stark Beauty Item 36,Beauty,Stark,43.2
P200036,Acme Toys & Games Item 37,Toys & Games,Acme,56.51
P200037,Globex Beauty Item 38,Beauty,Globex,55.58
P200038,Globex Electronics Item 39,Electronics,Globex,580.48
P200039,Tyrell Sports Item 40,Sports,Tyrell,72.64
P200040,Wayne Grocery & Gourmet Item 41,Grocery & Gourmet,Wayne,57.39
P200041,Aperture Pet Supplies Item 42,Pet Supplies,Aperture,128.63
P200042,Stark Pet Supplies Item 43,Pet Supplies,Stark,87.93
P200043,Initech Beauty Item 44,Beauty,Initech,36.01
P200044,Wonka Pet Supplies Item 45,Pet Supplies,Wonka,135.51
P200045,Aperture Toys & Games Item 46,Toys & Games,Aperture,54.68
