order_id,product_id,rating,review_date
O300000,P200215,5,2025-05-09
O300000,P200010,5,2025-04-21
O300003,P200179,4,2024-03-04
O300004,P200091,5,2024-12-22
O300005,P200111,4,2024-08-26
O300005,P200235,4,2024-10-05
O300006,P200177,4,2024-10-16
O300007,P200090,4,2024-07-09
O300007,P200039,2,2024-07-09
O300008,P200022,5,2025-02-03
O300009,P200229,3,2025-01-15
O300009,P200206,2,2025-01-01
O300009,P200227,4,2025-01-05
O300010,P200226,2,2024-03-17
O300010,P200047,1,2024-02-05
O300011,P200002,4,2024-11-24
O300012,P200248,4,2024-03-24
O300013,P200052,5,2024-08-28
O300016,P200148,4,2025-01-21
O300018,P200208,5,2025-05-11
O300018,P200039,4,2025-05-30
O300023,P200020,4,2025-06-30
O300023,P200083,1,2025-08-11
O300023,P200209,5,2025-07-09
O300025,P200019,4,2025-06-11
O300026,P200059,3,2024-07-27
O300026,P200238,3,2024-08-05
O300026,P200002,5,2024-08-28
O300027,P200139,5,2025-05-18
O300028,P200131,5,2025-04-23
O300032,P200121,3,2025-07-07
O300033,P200170,2,2025-02-03
O300034,P200087,4,2024-09-24
O300035,P200076,4,2024-02-04
O300037,P200207,4,2024-11-23
O300037,P200042,4,2024-12-14
O300037,P200054,5,2024-11-07
O300037,P200012,4,2024-12-09
O300038,P200107,3,2025-07-11
O300039,P200214,1,2024-09-30
O300040,P200078,4,2025-04-26
O300040,P200100,3,2025-05-24
O300041,P200052,4,2025-02-14
O300041,P200101,3,2025-02-10
O300042,P200119,4,2024-05-23
O300043,P200142,3,2024-04-08
O300044,P200130,3,2025-03-05
O300044,P200041,3,2025-02-25
O300045,P200118,4,2025-03-27
O300046,P200033,4,2025-05-02
O300049,P200190,4,2025-08-14
O300049,P200129,5,2025-09-24
O300050,P200143,4,2024-06-06
O300052,P200206,3,2024-03-06
O300053,P200203,5,2024-07-12
O300054,P200031,4,2025-08-12
O300054,P200071,4,2025-08-17
O300054,P200059,4,2025-09-01
O300055,P200151,2,2024-01-20
